Date,Close,High,Low,Open,Volume,Ticker
2015-01-02,24.214895248413086,24.68222757163672,23.776355295274307,24.67115267325441,212818400,AAPL
2015-01-05,23.53272247314453,24.064285483437537,23.346676348927705,23.984550947403974,257142000,AAPL
2015-01-06,23.534942626953125,23.79407907741607,23.173921823005994,23.596958014435618,263188400,AAPL
2015-01-07,23.86495018005371,23.964617509529127,23.632390824888006,23.743133053101715,160423600,AAPL
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,AAPL
2015-01-09,24.808475494384766,25.08311575891223,24.40980277991557,24.95465436316189,214798000,AAPL
2015-01-12,24.197174072265625,24.945790840272345,24.097506754292127,24.93914657771306,198603200,AAPL
2015-01-13,24.412015914916992,24.983446191297645,24.121871831314078,24.680011891872518,268367600,AAPL
2015-01-14,24.318994522094727,24.471817651304267,24.031064046541807,24.15066585839645,195826400,AAPL
2015-01-15,23.658967971801758,24.376577089070306,23.623531339856147,24.363288563314725,240056000,AAPL
2015-01-16,23.475130081176758,23.827291140841854,23.30015720986781,23.70547405012303,314053200,AAPL
2015-01-20,24.07978630065918,24.13515740540139,23.588090620181628,23.88487893049971,199599600,AAPL
2015-01-21,24.263622283935547,24.59806258830847,23.98012076721873,24.130730261496435,194303600,AAPL
2015-01-22,24.89485740661621,24.910361253569047,24.301278896462208,24.42088072572375,215185600,AAPL
2015-01-23,25.0233211517334,25.193863484117077,24.70216759234593,24.872711614522352,185859200,AAPL
2015-01-26,25.049888610839844,25.32895946484357,24.983444295938444,25.191638510380002,222460000,AAPL
2015-01-27,24.172801971435547,24.91256058364469,24.148438557603445,24.899270373505317,382274800,AAPL
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400,AAPL
2015-01-29,26.334501266479492,26.398731959324124,25.594742329744967,25.763070983758755,337745600,AAPL
2015-01-30,25.949111938476562,26.57812679485473,25.880450628531435,26.22375210888169,334982000,AAPL
2015-02-02,26.274696350097656,26.39429814064602,25.709912088376672,26.146236669694193,250956400,AAPL
2015-02-03,26.279129028320312,26.376581032432806,26.048785008958852,26.24590602450807,207662800,AAPL
2015-02-04,26.48067283630371,26.691084018363664,26.20381735184991,26.245899926220257,280598800,AAPL
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800,AAPL
2015-02-06,26.44510269165039,26.738615912814105,26.338369840108527,26.68747269934462,174826400,AAPL
2015-02-09,26.62076759338379,26.647449535368576,26.33392484181884,26.36060848026484,155559200,AAPL
2015-02-10,27.132200241088867,27.161107949741787,26.718614735477285,26.720837100403067,248034000,AAPL
2015-02-11,27.768129348754883,27.777023892483754,27.23891672034267,27.298952769936612,294247200,AAPL
2015-02-12,28.11946678161621,28.346273490964776,27.921567774388155,28.030523007292487,297898000,AAPL
2015-02-13,28.257328033447266,28.301799069729444,27.939355204291964,28.301799069729444,217088800,AAPL
2015-02-17,28.424089431762695,28.657566551525495,28.22174236844016,28.34848665436432,252609600,AAPL
2015-02-18,28.62198829650879,28.635329264529332,28.339592032694533,28.379616633216994,179566800,AAPL
2015-02-19,28.561948776245117,28.69091711398192,28.535266841858697,28.568619259841725,149449600,AAPL
2015-02-20,28.795427322387695,28.795427322387695,28.473008158366138,28.59975074596782,195793600,AAPL
